,Unnamed: 0,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,11072,2014,1,mclaren,0.0,0.0,0.0
1,11073,2014,1,mercedes,0.0,0.0,0.0
2,11074,2014,1,ferrari,0.0,0.0,0.0
3,11075,2014,1,williams,0.0,0.0,0.0
4,11076,2014,1,force_india,0.0,0.0,0.0
5,11077,2014,1,toro_rosso,0.0,0.0,0.0
6,11078,2014,1,sauber,0.0,0.0,0.0
7,11079,2014,1,marussia,0.0,0.0,0.0
8,11080,2014,1,lotus_f1,0.0,0.0,0.0
9,11081,2014,1,caterham,0.0,0.0,0.0
10,11082,2014,1,red_bull,0.0,0.0,0.0
11,11083,2014,2,mercedes,25.0,1.0,2.0
12,11084,2014,2,mclaren,33.0,0.0,1.0
13,11085,2014,2,ferrari,18.0,0.0,3.0
14,11086,2014,2,williams,10.0,0.0,4.0
15,11087,2014,2,force_india,9.0,0.0,5.0
16,11088,2014,2,red_bull,0.0,0.0,11.0
17,11089,2014,2,toro_rosso,6.0,0.0,6.0
18,11090,2014,2,sauber,0.0,0.0,7.0
19,11091,2014,2,lotus_f1,0.0,0.0,9.0
20,11092,2014,2,caterham,0.0,0.0,10.0
21,11093,2014,2,marussia,0.0,0.0,8.0
22,11094,2014,3,mercedes,68.0,2.0,1.0
23,11095,2014,3,force_india,19.0,0.0,5.0
24,11096,2014,3,mclaren,43.0,0.0,2.0
25,11097,2014,3,red_bull,15.0,0.0,6.0
26,11098,2014,3,ferrari,30.0,0.0,3.0
27,11099,2014,3,williams,20.0,0.0,4.0
28,11100,2014,3,toro_rosso,7.0,0.0,7.0
29,11101,2014,3,lotus_f1,0.0,0.0,9.0
30,11102,2014,3,sauber,0.0,0.0,8.0
31,11103,2014,3,marussia,0.0,0.0,11.0
32,11104,2014,3,caterham,0.0,0.0,10.0
33,11105,2014,4,mercedes,111.0,3.0,1.0
34,11106,2014,4,red_bull,35.0,0.0,4.0
35,11107,2014,4,force_india,44.0,0.0,2.0
36,11108,2014,4,ferrari,33.0,0.0,5.0
37,11109,2014,4,mclaren,43.0,0.0,3.0
38,11110,2014,4,williams,30.0,0.0,6.0
39,11111,2014,4,toro_rosso,7.0,0.0,7.0
40,11112,2014,4,lotus_f1,0.0,0.0,8.0
41,11113,2014,4,sauber,0.0,0.0,9.0
42,11114,2014,4,marussia,0.0,0.0,10.0
43,11115,2014,4,caterham,0.0,0.0,11.0
44,11116,2014,5,mercedes,154.0,4.0,1.0
45,11117,2014,5,red_bull,57.0,0.0,2.0
46,11118,2014,5,ferrari,52.0,0.0,4.0
47,11119,2014,5,force_india,54.0,0.0,3.0
48,11120,2014,5,williams,36.0,0.0,6.0
49,11121,2014,5,mclaren,43.0,0.0,5.0
50,11122,2014,5,toro_rosso,8.0,0.0,7.0
51,11123,2014,5,lotus_f1,0.0,0.0,8.0
52,11124,2014,5,sauber,0.0,0.0,9.0
53,11125,2014,5,marussia,0.0,0.0,10.0
54,11126,2014,5,caterham,0.0,0.0,11.0
55,11127,2014,6,mercedes,197.0,5.0,1.0
56,11128,2014,6,red_bull,84.0,0.0,2.0
57,11129,2014,6,ferrari,66.0,0.0,3.0
58,11130,2014,6,force_india,57.0,0.0,4.0
59,11131,2014,6,mclaren,43.0,0.0,6.0
60,11132,2014,6,williams,46.0,0.0,5.0
61,11133,2014,6,lotus_f1,4.0,0.0,8.0
62,11134,2014,6,toro_rosso,8.0,0.0,7.0
63,11135,2014,6,marussia,0.0,0.0,10.0
64,11136,2014,6,sauber,0.0,0.0,9.0
65,11137,2014,6,caterham,0.0,0.0,11.0
66,11138,2014,7,mercedes,240.0,6.0,1.0
67,11139,2014,7,red_bull,99.0,0.0,2.0
68,11140,2014,7,ferrari,78.0,0.0,3.0
69,11141,2014,7,force_india,67.0,0.0,4.0
70,11142,2014,7,mclaren,52.0,0.0,5.0
71,11143,2014,7,williams,52.0,0.0,6.0
72,11144,2014,7,toro_rosso,8.0,0.0,8.0
73,11145,2014,7,lotus_f1,8.0,0.0,7.0
74,11146,2014,7,marussia,2.0,0.0,9.0
75,11147,2014,7,sauber,0.0,0.0,10.0
76,11148,2014,7,caterham,0.0,0.0,11.0
77,11149,2014,8,mercedes,258.0,6.0,1.0
78,11150,2014,8,red_bull,139.0,1.0,2.0
79,11151,2014,8,ferrari,87.0,0.0,3.0
80,11152,2014,8,force_india,77.0,0.0,4.0
81,11153,2014,8,williams,58.0,0.0,6.0
82,11154,2014,8,mclaren,66.0,0.0,5.0
83,11155,2014,8,toro_rosso,12.0,0.0,7.0
84,11156,2014,8,lotus_f1,8.0,0.0,8.0
85,11157,2014,8,marussia,2.0,0.0,9.0
86,11158,2014,8,sauber,0.0,0.0,10.0
87,11159,2014,8,caterham,0.0,0.0,11.0
88,11160,2014,9,mercedes,301.0,7.0,1.0
89,11161,2014,9,red_bull,143.0,1.0,2.0
90,11162,2014,9,ferrari,98.0,0.0,3.0
91,11163,2014,9,williams,85.0,0.0,5.0
92,11164,2014,9,force_india,87.0,0.0,4.0
93,11165,2014,9,mclaren,72.0,0.0,6.0
94,11166,2014,9,toro_rosso,12.0,0.0,7.0
95,11167,2014,9,lotus_f1,8.0,0.0,8.0
96,11168,2014,9,marussia,2.0,0.0,9.0
97,11169,2014,9,sauber,0.0,0.0,10.0
98,11170,2014,9,caterham,0.0,0.0,11.0
99,11171,2014,10,mercedes,326.0,8.0,1.0
100,11172,2014,10,red_bull,168.0,1.0,2.0
101,11173,2014,10,williams,103.0,0.0,4.0
102,11174,2014,10,ferrari,106.0,0.0,3.0
103,11175,2014,10,force_india,91.0,0.0,5.0
104,11176,2014,10,mclaren,90.0,0.0,6.0
105,11177,2014,10,toro_rosso,15.0,0.0,7.0
106,11178,2014,10,lotus_f1,8.0,0.0,8.0
107,11179,2014,10,marussia,2.0,0.0,9.0
108,11180,2014,10,sauber,0.0,0.0,10.0
109,11181,2014,10,caterham,0.0,0.0,11.0
110,11182,2014,11,mercedes,366.0,9.0,1.0
111,11183,2014,11,red_bull,188.0,1.0,2.0
112,11184,2014,11,ferrari,116.0,0.0,4.0
113,11185,2014,11,williams,121.0,0.0,3.0
114,11186,2014,11,force_india,98.0,0.0,5.0
115,11187,2014,11,mclaren,96.0,0.0,6.0
116,11188,2014,11,toro_rosso,15.0,0.0,7.0
117,11189,2014,11,lotus_f1,8.0,0.0,8.0
118,11190,2014,11,marussia,2.0,0.0,9.0
119,11191,2014,11,sauber,0.0,0.0,10.0
120,11192,2014,11,caterham,0.0,0.0,11.0
121,11193,2014,12,mercedes,393.0,9.0,1.0
122,11194,2014,12,red_bull,219.0,2.0,2.0
123,11195,2014,12,ferrari,142.0,0.0,3.0
124,11196,2014,12,williams,135.0,0.0,4.0
125,11197,2014,12,mclaren,97.0,0.0,6.0
126,11198,2014,12,force_india,98.0,0.0,5.0
127,11199,2014,12,toro_rosso,17.0,0.0,7.0
128,11200,2014,12,lotus_f1,8.0,0.0,8.0
129,11201,2014,12,marussia,2.0,0.0,9.0
130,11202,2014,12,sauber,0.0,0.0,10.0
131,11203,2014,12,caterham,0.0,0.0,11.0
132,11204,2014,13,mercedes,411.0,9.0,1.0
133,11205,2014,13,red_bull,254.0,3.0,2.0
134,11206,2014,13,williams,150.0,0.0,4.0
135,11207,2014,13,ferrari,160.0,0.0,3.0
136,11208,2014,13,mclaren,105.0,0.0,5.0
137,11209,2014,13,force_india,103.0,0.0,6.0
138,11210,2014,13,toro_rosso,19.0,0.0,7.0
139,11211,2014,13,lotus_f1,8.0,0.0,8.0
140,11212,2014,13,marussia,2.0,0.0,9.0
141,11213,2014,13,sauber,0.0,0.0,10.0
142,11214,2014,13,caterham,0.0,0.0,11.0
