,season,round,driver,driver_points,driver_wins,driver_standings_pos
0,1950,1,farina,0.0,0.0,0.0
1,1950,1,fagioli,0.0,0.0,0.0
2,1950,1,reg_parnell,0.0,0.0,0.0
3,1950,1,cabantous,0.0,0.0,0.0
4,1950,1,rosier,0.0,0.0,0.0
5,1950,1,gerard,0.0,0.0,0.0
6,1950,1,harrison,0.0,0.0,0.0
7,1950,1,etancelin,0.0,0.0,0.0
8,1950,1,hampshire,0.0,0.0,0.0
9,1950,1,fry,0.0,0.0,0.0
10,1950,1,shawe_taylor,0.0,0.0,0.0
11,1950,1,claes,0.0,0.0,0.0
12,1950,1,fangio,0.0,0.0,0.0
13,1950,1,kelly,0.0,0.0,0.0
14,1950,1,bira,0.0,0.0,0.0
15,1950,1,murray,0.0,0.0,0.0
16,1950,1,crossley,0.0,0.0,0.0
17,1950,1,graffenried,0.0,0.0,0.0
18,1950,1,chiron,0.0,0.0,0.0
19,1950,1,martin,0.0,0.0,0.0
20,1950,1,rolt,0.0,0.0,0.0
21,1950,1,peter_walker,0.0,0.0,0.0
22,1950,1,leslie_johnson,0.0,0.0,0.0
23,1950,2,farina,9.0,1.0,1.0
24,1950,2,fangio,0.0,0.0,13.0
25,1950,2,fagioli,6.0,0.0,2.0
26,1950,2,ascari,0.0,0.0,0.0
27,1950,2,chiron,0.0,0.0,19.0
28,1950,2,reg_parnell,4.0,0.0,3.0
29,1950,2,cabantous,3.0,0.0,4.0
30,1950,2,sommer,0.0,0.0,0.0
31,1950,2,rosier,2.0,0.0,5.0
32,1950,2,bira,0.0,0.0,15.0
33,1950,2,gerard,0.0,0.0,6.0
34,1950,2,claes,0.0,0.0,12.0
35,1950,2,harrison,0.0,0.0,7.0
36,1950,2,etancelin,0.0,0.0,8.0
37,1950,2,hampshire,0.0,0.0,9.0
38,1950,2,fry,0.0,0.0,10.0
39,1950,2,shawe_taylor,0.0,0.0,11.0
40,1950,2,villoresi,0.0,0.0,0.0
41,1950,2,gonzalez,0.0,0.0,0.0
42,1950,2,kelly,0.0,0.0,14.0
43,1950,2,manzon,0.0,0.0,0.0
44,1950,2,graffenried,0.0,0.0,18.0
45,1950,2,murray,0.0,0.0,16.0
46,1950,2,crossley,0.0,0.0,17.0
47,1950,2,trintignant,0.0,0.0,0.0
48,1950,2,rol,0.0,0.0,0.0
49,1950,2,martin,0.0,0.0,20.0
50,1950,2,schell,0.0,0.0,0.0
51,1950,2,rolt,0.0,0.0,21.0
52,1950,2,peter_walker,0.0,0.0,22.0
53,1950,3,farina,9.0,1.0,1.0
