,Unnamed: 0,season,round,driver,driver_points,driver_wins,driver_standings_pos
0,23691,2014,1,rosberg,0.0,0.0,0.0
1,23692,2014,1,kevin_magnussen,0.0,0.0,0.0
2,23693,2014,1,button,0.0,0.0,0.0
3,23694,2014,1,alonso,0.0,0.0,0.0
4,23695,2014,1,bottas,0.0,0.0,0.0
5,23696,2014,1,hulkenberg,0.0,0.0,0.0
6,23697,2014,1,raikkonen,0.0,0.0,0.0
7,23698,2014,1,vergne,0.0,0.0,0.0
8,23699,2014,1,kvyat,0.0,0.0,0.0
9,23700,2014,1,perez,0.0,0.0,0.0
10,23701,2014,1,sutil,0.0,0.0,0.0
11,23702,2014,1,gutierrez,0.0,0.0,0.0
12,23703,2014,1,chilton,0.0,0.0,0.0
13,23704,2014,1,jules_bianchi,0.0,0.0,0.0
14,23705,2014,1,grosjean,0.0,0.0,0.0
15,23706,2014,1,maldonado,0.0,0.0,0.0
16,23707,2014,1,ericsson,0.0,0.0,0.0
17,23708,2014,1,vettel,0.0,0.0,0.0
18,23709,2014,1,hamilton,0.0,0.0,0.0
19,23710,2014,1,massa,0.0,0.0,0.0
20,23711,2014,1,kobayashi,0.0,0.0,0.0
21,23712,2014,1,ricciardo,0.0,0.0,0.0
22,23713,2014,2,rosberg,25.0,1.0,1.0
23,23714,2014,2,hamilton,0.0,0.0,19.0
24,23715,2014,2,alonso,12.0,0.0,4.0
25,23716,2014,2,button,15.0,0.0,3.0
26,23717,2014,2,kevin_magnussen,18.0,0.0,2.0
27,23718,2014,2,hulkenberg,8.0,0.0,6.0
28,23719,2014,2,vettel,0.0,0.0,18.0
29,23720,2014,2,bottas,10.0,0.0,5.0
30,23721,2014,2,raikkonen,6.0,0.0,7.0
31,23722,2014,2,massa,0.0,0.0,20.0
32,23723,2014,2,vergne,4.0,0.0,8.0
33,23724,2014,2,kvyat,2.0,0.0,9.0
34,23725,2014,2,perez,1.0,0.0,10.0
35,23726,2014,2,grosjean,0.0,0.0,15.0
36,23727,2014,2,sutil,0.0,0.0,11.0
37,23728,2014,2,gutierrez,0.0,0.0,12.0
38,23729,2014,2,chilton,0.0,0.0,13.0
39,23730,2014,2,kobayashi,0.0,0.0,21.0
40,23731,2014,2,ericsson,0.0,0.0,17.0
41,23732,2014,2,jules_bianchi,0.0,0.0,14.0
42,23733,2014,2,maldonado,0.0,0.0,16.0
43,23734,2014,2,ricciardo,0.0,0.0,22.0
44,23735,2014,3,rosberg,43.0,1.0,1.0
45,23736,2014,3,hamilton,25.0,1.0,2.0
46,23737,2014,3,hulkenberg,18.0,0.0,6.0
47,23738,2014,3,alonso,24.0,0.0,3.0
48,23739,2014,3,button,23.0,0.0,4.0
49,23740,2014,3,vettel,15.0,0.0,7.0
50,23741,2014,3,kevin_magnussen,20.0,0.0,5.0
51,23742,2014,3,bottas,14.0,0.0,8.0
52,23743,2014,3,perez,1.0,0.0,13.0
53,23744,2014,3,ricciardo,0.0,0.0,22.0
54,23745,2014,3,massa,6.0,0.0,10.0
55,23746,2014,3,raikkonen,6.0,0.0,9.0
56,23747,2014,3,vergne,4.0,0.0,11.0
57,23748,2014,3,kvyat,3.0,0.0,12.0
58,23749,2014,3,grosjean,0.0,0.0,14.0
59,23750,2014,3,sutil,0.0,0.0,15.0
60,23751,2014,3,gutierrez,0.0,0.0,16.0
61,23752,2014,3,chilton,0.0,0.0,17.0
62,23753,2014,3,kobayashi,0.0,0.0,18.0
63,23754,2014,3,maldonado,0.0,0.0,21.0
64,23755,2014,3,ericsson,0.0,0.0,19.0
65,23756,2014,3,jules_bianchi,0.0,0.0,20.0
66,23757,2014,4,rosberg,61.0,1.0,1.0
67,23758,2014,4,hamilton,50.0,2.0,2.0
68,23759,2014,4,alonso,26.0,0.0,4.0
69,23760,2014,4,hulkenberg,28.0,0.0,3.0
70,23761,2014,4,vettel,23.0,0.0,6.0
71,23762,2014,4,ricciardo,12.0,0.0,10.0
72,23763,2014,4,bottas,18.0,0.0,8.0
73,23764,2014,4,button,23.0,0.0,5.0
74,23765,2014,4,kevin_magnussen,20.0,0.0,7.0
75,23766,2014,4,perez,16.0,0.0,9.0
76,23767,2014,4,massa,12.0,0.0,11.0
77,23768,2014,4,raikkonen,7.0,0.0,12.0
78,23769,2014,4,vergne,4.0,0.0,13.0
79,23770,2014,4,kvyat,3.0,0.0,14.0
80,23771,2014,4,grosjean,0.0,0.0,15.0
81,23772,2014,4,sutil,0.0,0.0,16.0
82,23773,2014,4,gutierrez,0.0,0.0,17.0
83,23774,2014,4,chilton,0.0,0.0,18.0
84,23775,2014,4,kobayashi,0.0,0.0,19.0
85,23776,2014,4,maldonado,0.0,0.0,20.0
86,23777,2014,4,ericsson,0.0,0.0,21.0
87,23778,2014,4,jules_bianchi,0.0,0.0,22.0
88,23779,2014,5,hamilton,75.0,3.0,2.0
89,23780,2014,5,rosberg,79.0,1.0,1.0
90,23781,2014,5,alonso,41.0,0.0,3.0
91,23782,2014,5,vettel,33.0,0.0,5.0
92,23783,2014,5,ricciardo,24.0,0.0,6.0
93,23784,2014,5,hulkenberg,36.0,0.0,4.0
94,23785,2014,5,bottas,24.0,0.0,7.0
95,23786,2014,5,button,23.0,0.0,8.0
96,23787,2014,5,kevin_magnussen,20.0,0.0,9.0
97,23788,2014,5,perez,18.0,0.0,10.0
98,23789,2014,5,raikkonen,11.0,0.0,12.0
99,23790,2014,5,massa,12.0,0.0,11.0
100,23791,2014,5,grosjean,0.0,0.0,15.0
101,23792,2014,5,vergne,4.0,0.0,13.0
102,23793,2014,5,kvyat,4.0,0.0,14.0
103,23794,2014,5,sutil,0.0,0.0,16.0
104,23795,2014,5,gutierrez,0.0,0.0,17.0
105,23796,2014,5,chilton,0.0,0.0,18.0
106,23797,2014,5,kobayashi,0.0,0.0,19.0
107,23798,2014,5,maldonado,0.0,0.0,20.0
108,23799,2014,5,ericsson,0.0,0.0,21.0
109,23800,2014,5,jules_bianchi,0.0,0.0,22.0
110,23801,2014,6,rosberg,97.0,1.0,2.0
111,23802,2014,6,hamilton,100.0,4.0,1.0
112,23803,2014,6,alonso,49.0,0.0,3.0
113,23804,2014,6,ricciardo,39.0,0.0,5.0
114,23805,2014,6,hulkenberg,37.0,0.0,6.0
115,23806,2014,6,vettel,45.0,0.0,4.0
116,23807,2014,6,bottas,34.0,0.0,7.0
117,23808,2014,6,button,23.0,0.0,8.0
118,23809,2014,6,kevin_magnussen,20.0,0.0,9.0
119,23810,2014,6,perez,20.0,0.0,10.0
120,23811,2014,6,massa,12.0,0.0,12.0
121,23812,2014,6,raikkonen,17.0,0.0,11.0
122,23813,2014,6,grosjean,4.0,0.0,13.0
123,23814,2014,6,vergne,4.0,0.0,14.0
124,23815,2014,6,kvyat,4.0,0.0,15.0
125,23816,2014,6,jules_bianchi,0.0,0.0,22.0
126,23817,2014,6,ericsson,0.0,0.0,21.0
127,23818,2014,6,sutil,0.0,0.0,16.0
128,23819,2014,6,gutierrez,0.0,0.0,17.0
129,23820,2014,6,chilton,0.0,0.0,18.0
130,23821,2014,6,kobayashi,0.0,0.0,19.0
131,23822,2014,6,maldonado,0.0,0.0,20.0
132,23823,2014,7,rosberg,122.0,2.0,1.0
133,23824,2014,7,hamilton,118.0,4.0,2.0
134,23825,2014,7,ricciardo,54.0,0.0,4.0
135,23826,2014,7,alonso,61.0,0.0,3.0
136,23827,2014,7,vettel,45.0,0.0,6.0
137,23828,2014,7,hulkenberg,47.0,0.0,5.0
138,23829,2014,7,button,31.0,0.0,8.0
139,23830,2014,7,bottas,34.0,0.0,7.0
140,23831,2014,7,kevin_magnussen,21.0,0.0,9.0
141,23832,2014,7,perez,20.0,0.0,10.0
142,23833,2014,7,massa,18.0,0.0,11.0
143,23834,2014,7,raikkonen,17.0,0.0,12.0
144,23835,2014,7,grosjean,8.0,0.0,13.0
145,23836,2014,7,vergne,4.0,0.0,14.0
146,23837,2014,7,kvyat,4.0,0.0,15.0
147,23838,2014,7,jules_bianchi,2.0,0.0,16.0
148,23839,2014,7,sutil,0.0,0.0,18.0
149,23840,2014,7,ericsson,0.0,0.0,17.0
150,23841,2014,7,gutierrez,0.0,0.0,19.0
151,23842,2014,7,chilton,0.0,0.0,20.0
152,23843,2014,7,kobayashi,0.0,0.0,21.0
153,23844,2014,7,maldonado,0.0,0.0,22.0
154,23845,2014,8,rosberg,140.0,2.0,1.0
155,23846,2014,8,hamilton,118.0,4.0,2.0
156,23847,2014,8,ricciardo,79.0,1.0,3.0
157,23848,2014,8,alonso,69.0,0.0,4.0
158,23849,2014,8,vettel,60.0,0.0,5.0
159,23850,2014,8,hulkenberg,57.0,0.0,6.0
160,23851,2014,8,bottas,40.0,0.0,8.0
161,23852,2014,8,button,43.0,0.0,7.0
162,23853,2014,8,massa,18.0,0.0,11.0
163,23854,2014,8,kevin_magnussen,23.0,0.0,9.0
164,23855,2014,8,perez,20.0,0.0,10.0
165,23856,2014,8,raikkonen,18.0,0.0,12.0
166,23857,2014,8,grosjean,8.0,0.0,13.0
167,23858,2014,8,vergne,8.0,0.0,14.0
168,23859,2014,8,kvyat,4.0,0.0,15.0
169,23860,2014,8,jules_bianchi,2.0,0.0,16.0
170,23861,2014,8,sutil,0.0,0.0,17.0
171,23862,2014,8,ericsson,0.0,0.0,18.0
172,23863,2014,8,maldonado,0.0,0.0,22.0
173,23864,2014,8,gutierrez,0.0,0.0,19.0
174,23865,2014,8,chilton,0.0,0.0,20.0
175,23866,2014,8,kobayashi,0.0,0.0,21.0
176,23867,2014,9,rosberg,165.0,3.0,1.0
177,23868,2014,9,hamilton,136.0,4.0,2.0
178,23869,2014,9,ricciardo,83.0,1.0,3.0
179,23870,2014,9,alonso,79.0,0.0,4.0
180,23871,2014,9,bottas,55.0,0.0,7.0
181,23872,2014,9,vettel,60.0,0.0,5.0
182,23873,2014,9,hulkenberg,59.0,0.0,6.0
183,23874,2014,9,button,43.0,0.0,8.0
184,23875,2014,9,kevin_magnussen,29.0,0.0,10.0
185,23876,2014,9,massa,30.0,0.0,9.0
186,23877,2014,9,perez,28.0,0.0,11.0
187,23878,2014,9,raikkonen,19.0,0.0,12.0
188,23879,2014,9,vergne,8.0,0.0,14.0
189,23880,2014,9,grosjean,8.0,0.0,13.0
190,23881,2014,9,kvyat,4.0,0.0,15.0
191,23882,2014,9,jules_bianchi,2.0,0.0,16.0
192,23883,2014,9,sutil,0.0,0.0,17.0
193,23884,2014,9,ericsson,0.0,0.0,18.0
194,23885,2014,9,maldonado,0.0,0.0,19.0
195,23886,2014,9,gutierrez,0.0,0.0,20.0
196,23887,2014,9,chilton,0.0,0.0,21.0
197,23888,2014,9,kobayashi,0.0,0.0,22.0
198,23889,2014,10,rosberg,165.0,3.0,1.0
199,23890,2014,10,hamilton,161.0,5.0,2.0
200,23891,2014,10,ricciardo,98.0,1.0,3.0
201,23892,2014,10,alonso,87.0,0.0,4.0
202,23893,2014,10,bottas,73.0,0.0,5.0
203,23894,2014,10,vettel,70.0,0.0,6.0
204,23895,2014,10,hulkenberg,63.0,0.0,7.0
205,23896,2014,10,button,55.0,0.0,8.0
206,23897,2014,10,kevin_magnussen,35.0,0.0,9.0
207,23898,2014,10,massa,30.0,0.0,10.0
208,23899,2014,10,perez,28.0,0.0,11.0
209,23900,2014,10,raikkonen,19.0,0.0,12.0
210,23901,2014,10,vergne,9.0,0.0,13.0
211,23902,2014,10,grosjean,8.0,0.0,14.0
212,23903,2014,10,kvyat,6.0,0.0,15.0
213,23904,2014,10,jules_bianchi,2.0,0.0,16.0
214,23905,2014,10,sutil,0.0,0.0,17.0
215,23906,2014,10,ericsson,0.0,0.0,18.0
216,23907,2014,10,maldonado,0.0,0.0,19.0
217,23908,2014,10,gutierrez,0.0,0.0,20.0
218,23909,2014,10,chilton,0.0,0.0,21.0
219,23910,2014,10,kobayashi,0.0,0.0,22.0
220,23911,2014,11,rosberg,190.0,4.0,1.0
221,23912,2014,11,hamilton,176.0,5.0,2.0
222,23913,2014,11,ricciardo,106.0,1.0,3.0
223,23914,2014,11,alonso,97.0,0.0,4.0
224,23915,2014,11,bottas,91.0,0.0,5.0
225,23916,2014,11,vettel,82.0,0.0,6.0
226,23917,2014,11,hulkenberg,69.0,0.0,7.0
227,23918,2014,11,button,59.0,0.0,8.0
228,23919,2014,11,massa,30.0,0.0,10.0
229,23920,2014,11,kevin_magnussen,37.0,0.0,9.0
230,23921,2014,11,perez,29.0,0.0,11.0
231,23922,2014,11,raikkonen,19.0,0.0,12.0
232,23923,2014,11,vergne,9.0,0.0,13.0
233,23924,2014,11,grosjean,8.0,0.0,14.0
234,23925,2014,11,kvyat,6.0,0.0,15.0
235,23926,2014,11,jules_bianchi,2.0,0.0,16.0
236,23927,2014,11,sutil,0.0,0.0,17.0
237,23928,2014,11,ericsson,0.0,0.0,18.0
238,23929,2014,11,maldonado,0.0,0.0,19.0
239,23930,2014,11,gutierrez,0.0,0.0,20.0
240,23931,2014,11,chilton,0.0,0.0,21.0
241,23932,2014,11,kobayashi,0.0,0.0,22.0
242,23933,2014,12,rosberg,202.0,4.0,1.0
243,23934,2014,12,hamilton,191.0,5.0,2.0
244,23935,2014,12,ricciardo,131.0,2.0,3.0
245,23936,2014,12,alonso,115.0,0.0,4.0
246,23937,2014,12,bottas,95.0,0.0,5.0
247,23938,2014,12,vettel,88.0,0.0,6.0
248,23939,2014,12,hulkenberg,69.0,0.0,7.0
249,23940,2014,12,button,60.0,0.0,8.0
250,23941,2014,12,massa,40.0,0.0,9.0
251,23942,2014,12,raikkonen,27.0,0.0,12.0
252,23943,2014,12,kevin_magnussen,37.0,0.0,10.0
253,23944,2014,12,perez,29.0,0.0,11.0
254,23945,2014,12,vergne,11.0,0.0,13.0
255,23946,2014,12,grosjean,8.0,0.0,14.0
256,23947,2014,12,kvyat,6.0,0.0,15.0
257,23948,2014,12,jules_bianchi,2.0,0.0,16.0
258,23949,2014,12,sutil,0.0,0.0,17.0
259,23950,2014,12,ericsson,0.0,0.0,18.0
260,23951,2014,12,maldonado,0.0,0.0,19.0
261,23952,2014,12,gutierrez,0.0,0.0,20.0
262,23953,2014,12,chilton,0.0,0.0,21.0
263,23954,2014,12,kobayashi,0.0,0.0,22.0
264,23955,2014,12,lotterer,0.0,0.0,0.0
265,23956,2014,13,rosberg,220.0,4.0,1.0
266,23957,2014,13,hamilton,191.0,5.0,2.0
267,23958,2014,13,ricciardo,156.0,3.0,3.0
268,23959,2014,13,bottas,110.0,0.0,5.0
269,23960,2014,13,alonso,121.0,0.0,4.0
270,23961,2014,13,vettel,98.0,0.0,6.0
271,23962,2014,13,button,68.0,0.0,8.0
272,23963,2014,13,hulkenberg,70.0,0.0,7.0
273,23964,2014,13,massa,40.0,0.0,9.0
274,23965,2014,13,raikkonen,39.0,0.0,10.0
275,23966,2014,13,perez,33.0,0.0,12.0
276,23967,2014,13,kevin_magnussen,37.0,0.0,11.0
277,23968,2014,13,vergne,11.0,0.0,13.0
278,23969,2014,13,grosjean,8.0,0.0,14.0
279,23970,2014,13,kvyat,8.0,0.0,15.0
280,23971,2014,13,jules_bianchi,2.0,0.0,16.0
281,23972,2014,13,sutil,0.0,0.0,17.0
282,23973,2014,13,ericsson,0.0,0.0,18.0
283,23974,2014,13,maldonado,0.0,0.0,19.0
284,23975,2014,13,gutierrez,0.0,0.0,20.0
285,23976,2014,13,chilton,0.0,0.0,21.0
286,23977,2014,13,kobayashi,0.0,0.0,22.0
287,23978,2014,13,lotterer,0.0,0.0,23.0
288,23979,2014,14,hamilton,216.0,6.0,2.0
289,23980,2014,14,rosberg,238.0,4.0,1.0
290,23981,2014,14,ricciardo,166.0,3.0,3.0
291,23982,2014,14,alonso,121.0,0.0,5.0
292,23983,2014,14,vettel,106.0,0.0,6.0
293,23984,2014,14,bottas,122.0,0.0,4.0
294,23985,2014,14,button,72.0,0.0,7.0
295,23986,2014,14,hulkenberg,70.0,0.0,8.0
296,23987,2014,14,massa,55.0,0.0,9.0
297,23988,2014,14,perez,39.0,0.0,11.0
298,23989,2014,14,raikkonen,41.0,0.0,10.0
299,23990,2014,14,kevin_magnussen,38.0,0.0,12.0
300,23991,2014,14,vergne,11.0,0.0,13.0
301,23992,2014,14,grosjean,8.0,0.0,14.0
302,23993,2014,14,kvyat,8.0,0.0,15.0
303,23994,2014,14,jules_bianchi,2.0,0.0,16.0
304,23995,2014,14,sutil,0.0,0.0,17.0
305,23996,2014,14,ericsson,0.0,0.0,18.0
306,23997,2014,14,maldonado,0.0,0.0,19.0
307,23998,2014,14,gutierrez,0.0,0.0,20.0
308,23999,2014,14,chilton,0.0,0.0,21.0
309,24000,2014,14,kobayashi,0.0,0.0,22.0
310,24001,2014,14,lotterer,0.0,0.0,23.0
311,24002,2014,15,hamilton,241.0,7.0,1.0
312,24003,2014,15,rosberg,238.0,4.0,2.0
313,24004,2014,15,ricciardo,181.0,3.0,3.0
314,24005,2014,15,vettel,124.0,0.0,5.0
315,24006,2014,15,alonso,133.0,0.0,4.0
316,24007,2014,15,bottas,122.0,0.0,6.0
317,24008,2014,15,button,72.0,0.0,7.0
318,24009,2014,15,hulkenberg,72.0,0.0,8.0
319,24010,2014,15,massa,65.0,0.0,9.0
320,24011,2014,15,perez,45.0,0.0,10.0
321,24012,2014,15,raikkonen,45.0,0.0,11.0
322,24013,2014,15,kevin_magnussen,39.0,0.0,12.0
323,24014,2014,15,vergne,19.0,0.0,13.0
324,24015,2014,15,grosjean,8.0,0.0,14.0
325,24016,2014,15,kvyat,8.0,0.0,15.0
326,24017,2014,15,jules_bianchi,2.0,0.0,16.0
327,24018,2014,15,sutil,0.0,0.0,17.0
328,24019,2014,15,ericsson,0.0,0.0,18.0
329,24020,2014,15,maldonado,0.0,0.0,19.0
330,24021,2014,15,gutierrez,0.0,0.0,20.0
331,24022,2014,15,chilton,0.0,0.0,21.0
332,24023,2014,15,kobayashi,0.0,0.0,22.0
333,24024,2014,15,lotterer,0.0,0.0,23.0
334,24025,2014,16,hamilton,266.0,8.0,1.0
335,24026,2014,16,rosberg,256.0,4.0,2.0
336,24027,2014,16,ricciardo,193.0,3.0,3.0
337,24028,2014,16,bottas,130.0,0.0,6.0
338,24029,2014,16,vettel,139.0,0.0,4.0
339,24030,2014,16,alonso,133.0,0.0,5.0
340,24031,2014,16,button,82.0,0.0,7.0
341,24032,2014,16,hulkenberg,76.0,0.0,8.0
342,24033,2014,16,massa,71.0,0.0,9.0
343,24034,2014,16,kevin_magnussen,39.0,0.0,12.0
344,24035,2014,16,perez,46.0,0.0,10.0
345,24036,2014,16,raikkonen,45.0,0.0,11.0
346,24037,2014,16,vergne,21.0,0.0,13.0
347,24038,2014,16,grosjean,8.0,0.0,14.0
348,24039,2014,16,kvyat,8.0,0.0,15.0
349,24040,2014,16,jules_bianchi,2.0,0.0,16.0
350,24041,2014,16,sutil,0.0,0.0,17.0
351,24042,2014,16,ericsson,0.0,0.0,18.0
352,24043,2014,16,maldonado,0.0,0.0,19.0
353,24044,2014,16,gutierrez,0.0,0.0,20.0
354,24045,2014,16,chilton,0.0,0.0,21.0
355,24046,2014,16,kobayashi,0.0,0.0,22.0
