season,round,circuit_id,driver,nationality,constructor,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
2014,1,albert_park,rosberg,German,mercedes,3,Finished,25.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28
2014,1,albert_park,kevin_magnussen,Danish,mclaren,4,Finished,18.0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21
2014,1,albert_park,button,British,mclaren,10,Finished,15.0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34
2014,1,albert_park,alonso,Spanish,ferrari,5,Finished,12.0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32
2014,1,albert_park,bottas,Finnish,williams,15,Finished,10.0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24
2014,1,albert_park,hulkenberg,German,aston_martin,7,Finished,8.0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26
2014,1,albert_park,raikkonen,Finnish,ferrari,11,Finished,6.0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34
2014,1,albert_park,vergne,French,alphatauri,6,Finished,4.0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23
2014,1,albert_park,kvyat,Russian,alphatauri,8,Finished,2.0,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19
2014,1,albert_park,perez,Mexican,aston_martin,16,Finished,1.0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24
2014,1,albert_park,sutil,German,alfa,13,Finished,0.0,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,31
2014,1,albert_park,gutierrez,Mexican,alfa,20,Finished,0.0,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22
2014,1,albert_park,chilton,British,manor,17,Finished,0.0,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22
2014,1,albert_park,jules_bianchi,French,manor,18,Finished,0.0,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24
2014,1,albert_park,grosjean,French,alpine,22,Mechanical Issue,0.0,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27
2014,1,albert_park,maldonado,Venezuelan,alpine,21,Mechanical Issue,0.0,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29
2014,1,albert_park,ericsson,Swedish,caterham,19,Mechanical Issue,0.0,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23
2014,1,albert_park,vettel,German,red_bull,12,Mechanical Issue,0.0,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26
2014,1,albert_park,hamilton,British,mercedes,1,Mechanical Issue,0.0,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29
2014,1,albert_park,massa,Brazilian,williams,9,Incident,0.0,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32
2014,1,albert_park,kobayashi,Japanese,caterham,14,Incident,0.0,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27
2014,1,albert_park,ricciardo,Australian,red_bull,2,Incident,0.0,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24
2014,2,sepang,hamilton,British,mercedes,1,Finished,25.0,1,0,0,0,0,0.0,0.0,19.0,25.0,1.0,2.0,29
2014,2,sepang,rosberg,German,mercedes,3,Finished,18.0,2,0,0,0,0,25.0,1.0,1.0,25.0,1.0,2.0,28
2014,2,sepang,vettel,German,red_bull,2,Finished,15.0,3,0,0,0,0,0.0,0.0,18.0,0.0,0.0,11.0,26
2014,2,sepang,alonso,Spanish,ferrari,4,Finished,12.0,4,0,0,0,0,12.0,0.0,4.0,18.0,0.0,3.0,32
2014,2,sepang,hulkenberg,German,aston_martin,7,Finished,10.0,5,0,0,0,0,8.0,0.0,6.0,9.0,0.0,5.0,26
2014,2,sepang,button,British,mclaren,10,Finished,8.0,6,0,0,0,0,15.0,0.0,3.0,33.0,0.0,1.0,34
2014,2,sepang,massa,Brazilian,williams,13,Finished,6.0,7,0,0,0,0,0.0,0.0,20.0,10.0,0.0,4.0,32
2014,2,sepang,bottas,Finnish,williams,18,Finished,4.0,8,0,0,0,0,10.0,0.0,5.0,10.0,0.0,4.0,24
2014,2,sepang,kevin_magnussen,Danish,mclaren,8,Finished,2.0,9,0,0,0,0,18.0,0.0,2.0,33.0,0.0,1.0,21
2014,2,sepang,kvyat,Russian,alphatauri,11,Finished,1.0,10,0,0,0,0,2.0,0.0,9.0,6.0,0.0,6.0,19
2014,2,sepang,grosjean,French,alpine,15,Finished,0.0,11,0,0,0,0,0.0,0.0,15.0,0.0,0.0,9.0,27
2014,2,sepang,raikkonen,Finnish,ferrari,6,Finished,0.0,12,0,0,0,0,6.0,0.0,7.0,18.0,0.0,3.0,34
2014,2,sepang,kobayashi,Japanese,caterham,20,Finished,0.0,13,0,0,0,0,0.0,0.0,21.0,0.0,0.0,10.0,27
2014,2,sepang,ericsson,Swedish,caterham,22,Finished,0.0,14,0,0,0,0,0.0,0.0,17.0,0.0,0.0,10.0,23
2014,2,sepang,chilton,British,manor,21,Finished,0.0,15,0,0,0,0,0.0,0.0,13.0,0.0,0.0,8.0,22
2014,2,sepang,ricciardo,Australian,red_bull,5,Mechanical Issue,0.0,16,0,0,0,0,0.0,0.0,22.0,0.0,0.0,11.0,24
2014,2,sepang,gutierrez,Mexican,alfa,12,Mechanical Issue,0.0,17,0,0,0,0,0.0,0.0,12.0,0.0,0.0,7.0,22
2014,2,sepang,sutil,German,alfa,17,Mechanical Issue,0.0,18,0,0,0,0,0.0,0.0,11.0,0.0,0.0,7.0,31
2014,2,sepang,vergne,French,alphatauri,9,Mechanical Issue,0.0,19,0,0,0,0,4.0,0.0,8.0,6.0,0.0,6.0,23
2014,2,sepang,jules_bianchi,French,manor,19,Mechanical Issue,0.0,20,0,0,0,0,0.0,0.0,14.0,0.0,0.0,8.0,24
2014,2,sepang,maldonado,Venezuelan,alpine,16,Mechanical Issue,0.0,21,0,0,0,0,0.0,0.0,16.0,0.0,0.0,9.0,29
2014,2,sepang,perez,Mexican,aston_martin,14,Incident,0.0,22,0,0,0,0,1.0,0.0,10.0,9.0,0.0,5.0,24
2014,3,bahrain,hamilton,British,mercedes,2,Finished,25.0,1,1,0,0,0,25.0,1.0,2.0,68.0,2.0,1.0,29
2014,3,bahrain,rosberg,German,mercedes,1,Finished,18.0,2,1,0,0,0,43.0,1.0,1.0,68.0,2.0,1.0,28
2014,3,bahrain,perez,Mexican,aston_martin,4,Finished,15.0,3,1,0,0,0,1.0,0.0,13.0,19.0,0.0,5.0,24
2014,3,bahrain,ricciardo,Australian,red_bull,13,Finished,12.0,4,1,0,0,0,0.0,0.0,22.0,15.0,0.0,6.0,24
2014,3,bahrain,hulkenberg,German,aston_martin,11,Finished,10.0,5,1,0,0,0,18.0,0.0,6.0,19.0,0.0,5.0,26
2014,3,bahrain,vettel,German,red_bull,10,Finished,8.0,6,1,0,0,0,15.0,0.0,7.0,15.0,0.0,6.0,26
2014,3,bahrain,massa,Brazilian,williams,7,Finished,6.0,7,1,0,0,0,6.0,0.0,10.0,20.0,0.0,4.0,32
2014,3,bahrain,bottas,Finnish,williams,3,Finished,4.0,8,1,0,0,0,14.0,0.0,8.0,20.0,0.0,4.0,24
2014,3,bahrain,alonso,Spanish,ferrari,9,Finished,2.0,9,1,0,0,0,24.0,0.0,3.0,30.0,0.0,3.0,32
2014,3,bahrain,raikkonen,Finnish,ferrari,5,Finished,1.0,10,1,0,0,0,6.0,0.0,9.0,30.0,0.0,3.0,34
2014,3,bahrain,kvyat,Russian,alphatauri,12,Finished,0.0,11,1,0,0,0,3.0,0.0,12.0,7.0,0.0,7.0,19
2014,3,bahrain,grosjean,French,alpine,16,Finished,0.0,12,1,0,0,0,0.0,0.0,14.0,0.0,0.0,9.0,27
2014,3,bahrain,chilton,British,manor,21,Finished,0.0,13,1,0,0,0,0.0,0.0,17.0,0.0,0.0,11.0,22
2014,3,bahrain,maldonado,Venezuelan,alpine,17,Finished,0.0,14,1,0,0,0,0.0,0.0,21.0,0.0,0.0,9.0,29
2014,3,bahrain,kobayashi,Japanese,caterham,18,Finished,0.0,15,1,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,27
2014,3,bahrain,jules_bianchi,French,manor,19,Finished,0.0,16,1,0,0,0,0.0,0.0,20.0,0.0,0.0,11.0,24
