,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,1958,1,cooper,0.0,0.0,0.0
1,1958,1,ferrari,0.0,0.0,0.0
2,1958,1,maserati,0.0,0.0,0.0
3,1958,2,cooper,8.0,1.0,1.0
4,1958,2,ferrari,6.0,0.0,2.0
5,1958,2,maserati,3.0,0.0,3.0
6,1958,2,brm,0.0,0.0,0.0
7,1958,2,team_lotus,0.0,0.0,0.0
8,1958,2,vanwall,0.0,0.0,0.0
9,1958,2,connaught,0.0,0.0,0.0
10,1958,2,osca,0.0,0.0,0.0
11,1958,3,cooper,16.0,2.0,1.0
12,1958,3,ferrari,12.0,0.0,2.0
13,1958,3,vanwall,0.0,0.0,6.0
14,1958,3,brm,2.0,0.0,4.0
15,1958,3,maserati,3.0,0.0,3.0
16,1958,3,team_lotus,0.0,0.0,5.0
17,1958,3,porsche,0.0,0.0,0.0
18,1958,3,connaught,0.0,0.0,7.0
19,1958,3,osca,0.0,0.0,8.0
20,1958,4,cooper,19.0,2.0,1.0
21,1958,4,ferrari,14.0,0.0,2.0
22,1958,4,vanwall,8.0,1.0,3.0
23,1958,4,brm,8.0,0.0,4.0
24,1958,4,maserati,3.0,0.0,5.0
25,1958,4,team_lotus,0.0,0.0,6.0
26,1958,4,porsche,0.0,0.0,7.0
27,1958,4,connaught,0.0,0.0,8.0
28,1958,4,osca,0.0,0.0,9.0
29,1958,5,ferrari,14.0,0.0,2.0
30,1958,5,cooper,19.0,2.0,1.0
31,1958,5,vanwall,8.0,1.0,3.0
32,1958,5,brm,8.0,0.0,4.0
33,1958,5,maserati,3.0,0.0,5.0
34,1958,5,team_lotus,0.0,0.0,6.0
35,1958,5,porsche,0.0,0.0,7.0
36,1958,5,connaught,0.0,0.0,8.0
37,1958,5,osca,0.0,0.0,9.0
38,1958,6,ferrari,20.0,0.0,1.0
39,1958,6,vanwall,16.0,2.0,3.0
40,1958,6,cooper,19.0,2.0,2.0
41,1958,6,brm,10.0,0.0,4.0
42,1958,6,maserati,3.0,0.0,5.0
43,1958,6,team_lotus,3.0,0.0,6.0
44,1958,6,porsche,0.0,0.0,7.0
45,1958,6,connaught,0.0,0.0,8.0
46,1958,6,osca,0.0,0.0,9.0
47,1958,7,ferrari,28.0,1.0,1.0
48,1958,7,vanwall,22.0,2.0,2.0
49,1958,7,cooper,19.0,2.0,3.0
50,1958,7,brm,10.0,0.0,4.0
51,1958,7,maserati,6.0,0.0,5.0
52,1958,7,team_lotus,3.0,0.0,6.0
53,1958,7,porsche,0.0,0.0,7.0
54,1958,7,connaught,0.0,0.0,8.0
55,1958,7,osca,0.0,0.0,9.0
56,1958,8,ferrari,36.0,2.0,1.0
57,1958,8,vanwall,25.0,2.0,2.0
58,1958,8,cooper,23.0,2.0,3.0
59,1958,8,brm,12.0,0.0,4.0
60,1958,8,maserati,6.0,0.0,5.0
61,1958,8,team_lotus,3.0,0.0,6.0
62,1958,8,porsche,0.0,0.0,7.0
63,1958,8,connaught,0.0,0.0,8.0
64,1958,8,osca,0.0,0.0,9.0
65,1958,9,vanwall,33.0,3.0,2.0
66,1958,9,ferrari,37.0,2.0,1.0
67,1958,9,cooper,29.0,2.0,3.0
68,1958,9,brm,12.0,0.0,4.0
69,1958,9,maserati,6.0,0.0,5.0
70,1958,9,team_lotus,3.0,0.0,6.0
