model,n_races,top1_accuracy,top1_accuracy_lo,top1_accuracy_hi,podium_hit_rate,podium_hit_rate_lo,podium_hit_rate_hi,spearman_rho,spearman_rho_lo,spearman_rho_hi,ndcg_at_10,ndcg_at_10_lo,ndcg_at_10_hi,winner_log_loss,winner_log_loss_lo,winner_log_loss_hi,winner_brier,winner_brier_lo,winner_brier_hi
naive: pole sitter wins,103,0.5728155339805825,0.47572815533980584,0.6699029126213593,0.6634304207119742,0.6213592233009708,0.7055016181229774,0.6280949248362493,0.5890157604882738,0.6662533372355703,0.8784442467086357,0.8619374095934833,0.8942729266411757,1.7567164699081523,1.6342561847340837,1.888020315160437,0.03558209127875289,0.03384887730537486,0.03739667874687097
lightgbm: lambdarank,103,0.5436893203883495,0.44660194174757284,0.6407766990291263,0.6537216828478967,0.6116504854368932,0.6957928802588997,0.6643454669463483,0.6286909082580833,0.6993109152271817,0.8876261016273588,0.8721236845780848,0.9027873798646352,1.5764689692029867,1.460593844517008,1.6884833021774885,0.03424539300003026,0.031981089838934204,0.03637974951430149
plackett-luce,103,0.49514563106796117,0.39805825242718446,0.5922330097087378,0.6278317152103561,0.5857605177993527,0.6699029126213595,0.646097110845728,0.6099289038629421,0.681813743268721,0.8837898884352369,0.8686133140421735,0.898520915277222,1.6506730647973074,1.5553220959469447,1.7425223794784095,0.0356444288404455,0.03388384334589383,0.03727891458861143
original: MLP,103,0.47572815533980584,0.3786407766990291,0.5728155339805825,0.5436893203883496,0.5016181229773462,0.5857605177993527,0.5767020009827324,0.5409864601639945,0.6111978834707167,0.8592221159350866,0.8434467851921476,0.8746220897419308,5.02344680297986,3.7116193673513256,6.421678543953405,0.044386951124243616,0.03665383966022182,0.052373131843323775
naive: most wins so far,103,0.4700205942924389,0.37880148573109734,0.5619770520741394,0.49603561713934735,0.4524648727708258,0.5376848183516553,0.44057336962527693,0.3974648776502845,0.48135600660792155,0.7681183908635547,0.7526296109436201,0.782834528968765,2.0440082872574674,1.8655352145103088,2.2299351487416175,0.037784117428415996,0.035542241054270174,0.04006673140786485
naive: championship leader,103,0.45869373345101505,0.36257722859664604,0.5548102383053839,0.5540747278611357,0.5056634304207118,0.5998381877022653,0.5944994565657977,0.5580748403417604,0.6288645872409611,0.8551988047102606,0.8370065590335665,0.8721675705841069,1.9511348476056931,1.8172502609528922,2.0911415943250504,0.03802378141296686,0.036232692213099736,0.039870325227440814
original: SVM (retuned),103,0.44660194174757284,0.34951456310679613,0.5436893203883495,0.49838187702265374,0.4466019417475729,0.5501618122977345,0.276982163378822,0.2373246128579825,0.3157654634398652,0.7560291928066392,0.7384293431086765,0.7733642996620497,2.05332369166467,1.8764331316633278,2.233274887504622,0.03796679267592277,0.03535869330277533,0.040490978699900336
naive: best recent form,103,0.4174757281553398,0.32524271844660196,0.5097087378640777,0.5250809061488674,0.477346278317152,0.5720064724919094,0.5543105435898039,0.5120374537108557,0.5949688777800733,0.848428122107063,0.8321101615845525,0.8645942114908545,2.0197260430849977,1.8845499389422178,2.154672132913148,0.03913175544961931,0.03729581006931631,0.04094462419775155
naive: previous winner,103,0.39805825242718446,0.30097087378640774,0.49514563106796117,0.3072378897621615,0.2785820403219483,0.33337659142462395,0.25057295409113617,0.20821284089960343,0.2882623806011814,0.6964821041452078,0.6849284159451147,0.7069862022849336,2.6885886918017543,2.5919589626349313,2.7821964933637737,0.04468625421257329,0.04390246481535255,0.045460632316968244
naive: strongest constructor,103,0.09061488673139159,0.043689320388349516,0.14401294498381875,0.4309600862998922,0.38403451995685023,0.4778856526429342,0.5081470481604912,0.4685130053550257,0.5466620199878388,0.8185888226378433,0.8007114935854434,0.8365294681410009,2.4042760273138057,2.2819247692141302,2.521098283696126,0.04487995761567916,0.04355286396162078,0.04606709173839922
original: SVM,103,0.08737864077669903,0.038834951456310676,0.14563106796116504,0.372168284789644,0.3236245954692557,0.42071197411003236,0.49375972645840005,0.45754115660616296,0.5289948306046591,0.8250994315182874,0.8094337156690935,0.8401834339190637,2.5025418486757576,2.3949153756219137,2.607584334057083,0.04651252127736426,0.04530948252055462,0.047626126508610256
"original: SVM (leaky, artifact)",103,0.06796116504854369,0.019417475728155338,0.11650485436893204,0.3268608414239482,0.27831715210355984,0.3754045307443366,0.49961765959855314,0.46343807444471713,0.5358410127933133,0.8211259947654133,0.8047440202026154,0.8371164862500674,2.966773015250156,2.9574787975117127,2.9753707060542496,0.0469229554003603,0.046642198266667795,0.04718199599476719
naive: random,103,0.038834951456310676,0.009708737864077669,0.07766990291262135,0.17152103559870543,0.13592233009708737,0.21035598705501612,0.00858604933608822,-0.03418781878330655,0.05162412872428198,0.6323902385010947,0.6138053917157503,0.6511519364734036,3.017406623986045,2.9631817590804763,3.0714992232455693,0.047182882102050995,0.0467622494287722,0.04758737232703858
