model,n_races,top1_accuracy,top1_accuracy_lo,top1_accuracy_hi,podium_hit_rate,podium_hit_rate_lo,podium_hit_rate_hi,spearman_rho,spearman_rho_lo,spearman_rho_hi,ndcg_at_10,ndcg_at_10_lo,ndcg_at_10_hi,winner_log_loss,winner_log_loss_lo,winner_log_loss_hi,winner_brier,winner_brier_lo,winner_brier_hi
naive: pole sitter wins,103,0.5728155339805825,0.47572815533980584,0.6699029126213593,0.6634304207119742,0.6213592233009708,0.7055016181229774,0.6280949248362493,0.5890157604882738,0.6662533372355703,0.8784442467086357,0.8619374095934833,0.8942729266411757,1.6237172941611469,1.1868304832872802,2.1382804008547427,0.030784908271464923,0.02601090614566301,0.03578812088543232
naive: most wins so far,103,0.5533980582524272,0.4563106796116505,0.6504854368932039,0.6666666666666667,0.6181229773462783,0.7119741100323626,0.44057336962527693,0.3974648776502845,0.48135600660792155,0.9519617244667278,0.9397271823235298,0.9628914324119602,2.5899392624261766,2.0794312225292626,3.134117093284713,0.042307978337548235,0.035312214486825415,0.049465768514706555
naive: championship leader,103,0.5048543689320388,0.4077669902912621,0.6019417475728155,0.5954692556634305,0.5469255663430421,0.6407766990291264,0.5944994565657977,0.5580748403417604,0.6288645872409611,0.8740619095320079,0.8588194700519113,0.8887898641000374,13.707437218173073,10.813878557282624,16.68121653029614,0.05112468210560668,0.0420723846656041,0.060226948104017616
lightgbm: lambdarank,103,0.5048543689320388,0.4077669902912621,0.6019417475728155,0.5825242718446602,0.5339805825242718,0.6310679611650484,0.6553458168618906,0.6183329981579299,0.6916549422599053,0.8815422542918385,0.864529316625137,0.8981971861305847,1.4988381410132732,1.3319921868878324,1.672781972205743,0.032999942333331575,0.029414711107255,0.03668659949237799
naive: previous winner,103,0.47572815533980584,0.3786407766990291,0.5728155339805825,0.8932038834951458,0.8608414239482203,0.9223300970873788,0.246067139404062,0.20184977319173325,0.2859960523576164,0.9684088448231372,0.9558591424533691,0.9794052419540537,2.610918788889134,2.514162042940921,2.7080061675299127,0.04407175448443156,0.04329034529907369,0.04485920326115862
original: MLP,103,0.4563106796116505,0.3592233009708738,0.5533980582524272,0.5598705501618123,0.5210355987055015,0.6019417475728154,0.573348977416872,0.5392083734029035,0.6060030612045675,0.8532734736135222,0.8371388948481804,0.8688594557164933,5.6506282324132195,4.164305687316191,7.254357454764874,0.046665559572520186,0.03851646768423266,0.05474647434727168
plackett-luce,103,0.4368932038834951,0.33980582524271846,0.5339805825242718,0.6278317152103559,0.5857605177993528,0.6699029126213594,0.6507991168296426,0.6145193671272852,0.6861165096631983,0.8809304107539649,0.8652805215869122,0.8962949794645602,1.7030142085591031,1.6115430520228287,1.7940106887705702,0.036320068796550455,0.03466731047694983,0.03787243725912492
naive: best recent form,103,0.3883495145631068,0.2912621359223301,0.4854368932038835,0.5242718446601943,0.4757281553398058,0.5728155339805825,0.5543105435898039,0.5120374537108557,0.5949688777800733,0.8500257558249603,0.833592217801063,0.8662756900933553,2.1666199881713504,1.7734917275575908,2.577428174935715,0.04114831634465974,0.03504130480703732,0.047172179899785525
naive: strongest constructor,103,0.1262135922330097,0.06796116504854369,0.1941747572815534,0.4304207119741101,0.38187702265372175,0.47896440129449835,0.5081470481604912,0.4685130053550257,0.5466620199878388,0.8214985021889258,0.8032182439599482,0.8394288574951791,2.7643458127822154,2.3439066825950814,3.1894709140667166,0.051315650391215675,0.04752892652693239,0.054947152971618826
original: SVM,103,0.07766990291262135,0.02912621359223301,0.13592233009708737,0.35922330097087374,0.32038834951456313,0.3980582524271845,0.5321134776001364,0.49476537120651887,0.5685400170578794,0.8343772151557682,0.8196736330610966,0.8491753298248675,2.5730691294427803,2.4367425966374623,2.7127299556151976,0.04718382208501274,0.04581409141937763,0.04853132201914691
"original: SVM (leaky, artifact)",103,0.04854368932038835,0.009708737864077669,0.0970873786407767,0.3365695792880259,0.2944983818770226,0.3786407766990292,0.5321234318768254,0.4945520553850183,0.5671074182347536,0.8346278274392996,0.819864057662526,0.8488388428810746,2.965943537495885,2.956099246374,2.9752633391358025,0.04692003186528298,0.04664163620188112,0.04717525293533542
naive: random,103,0.02912621359223301,0.0,0.06796116504854369,0.1132686084142395,0.08414239482200647,0.14563106796116504,-0.05482426085167635,-0.09340478917082412,-0.01544390856453464,0.6078189610112568,0.59025060121,0.6253695759914836,3.0831950324344035,3.0215858857165925,3.143116357604229,0.04744503625061454,0.047054135977237295,0.04780877236974843
